date,league,away_team,home_team,venue_id,venue_name,timezone,phase,delay_minutes,delay_detail,source_url,label_quality
2011-10-08,NCAA,Unknown,McMurry,abilene_historical,McMurry University stadium,America/Chicago,pregame,348,Paper reports 2:00 PM scheduled start and 7:48 PM actual start; lightning-related weather delay.,https://www.vaisala.com/sites/default/files/documents/Lightning%20Impacts%20on%20College%20Football%20Games_R.L.%20Holle%20and%20K.W.%20Flanagan.pdf,published case summary
2013-09-05,NFL,Baltimore Ravens,Denver Broncos,denver,Sports Authority Field at Mile High,America/Denver,pregame,34,NFL reports 34-minute lightning delay; reported actual kick at 9:14 PM ET.,https://www.nfl.com/news/nfl-season-opener-in-denver-delayed-by-lightning-0ap1000000238877,official NFL report
2013-09-15,NFL,New Orleans Saints,Tampa Bay Buccaneers,venue_raymond_james_stadium,Raymond James Stadium,America/New_York,in_game,69,Lightning suspension in the first quarter; the official Saints recap reports a 69-minute delay.,https://www.neworleanssaints.com/news/new-orleans-saints-win-wild-16-14-decision-over-tampa-bay-11211444,official team report
2013-11-17,NFL,Baltimore Ravens,Chicago Bears,venue_soldier_field,Soldier Field,America/Chicago,in_game,113,NFL gamebook explicitly records resumption after a 1:53 weather delay (113 minutes).,https://static.www.nfl.com/image/upload/v1677630743/gamecenter/10012013-1117-01a9-88aa-cc1d490ca671.pdf,official NFL gamebook
2014-08-07,NFL,Seattle Seahawks,Denver Broncos,denver,Sports Authority Field at Mile High,America/Denver,in_game,46,NFL.com report states a 46-minute lightning delay during the first quarter.,https://www.nfl.com/news/broncos-look-strong-in-avenging-super-bowl-loss-0ap3000000375620,NFL.com AP report
2014-08-30,NCAA,Arkansas Razorbacks,Auburn Tigers,venue_pat_dye_field_at_jordanhare_stadium,Pat Dye Field at Jordan-Hare Stadium,America/Chicago,in_game,88,Auburn Athletics directly reports an 88-minute lightning delay late in the game.,https://auburntigers.com/news/2014/08/30/auburn-strikes-right-balance-in-opening-win-over-arkansas,official team report
2015-08-22,NFL,Oakland Raiders,Minnesota Vikings,venue_huntington_bank_stadium,TCF Bank Stadium,America/Chicago,in_game,65,Raiders report says play resumed following a 1-hour-5-minute lightning delay.,https://www.raiders.com/news/game-notes-raiders-fall-to-vikings-20-12-15726035,official team report
2015-09-12,NCAA,Norfolk State Spartans,Old Dominion Monarchs,venue_kornblau_field_at_s_b_ballard_stadium,Kornblau Field at S.B. Ballard Stadium,America/New_York,pregame,23,ODU reported actual start at 7:23 PM; its pregame schedule announcement set kickoff at 7:00 PM.,https://odusports.com/news/2015/09/12/old-dominion-football-defeats-norfolk-state-24-10,official team report; duration calculated from official schedule
2015-11-27,NCAA,TCU Horned Frogs,Baylor Bears,venue_mclane_stadium,McLane Stadium,America/Chicago,pregame,50,Baylor Athletics directly reports the game started 50 minutes late because of a lightning delay.,https://baylorbears.com/news/2015/11/27/No_7_Football_Falls_to_No_15_TCU_28_21_in_Double_OT,official team report
2016-08-12,NFL,Miami Dolphins,New York Giants,venue_metlife_stadium,MetLife Stadium,America/New_York,pregame,56,Scheduled 7:00 PM ET kickoff; NFL.com reports actual kickoff at 7:56 PM ET due to lightning.,https://www.nfl.com/news/dolphins-giants-starts-after-delay-due-to-weather-0ap3000000684331,official NFL report
2016-08-20,NFL,Carolina Panthers,Tennessee Titans,venue_nissan_stadium,Nissan Stadium,America/Chicago,in_game,30,NFL report says play resumed after a 30-minute lightning delay in the third quarter.,https://www.nfl.com/news/panthers-titans-game-resumes-after-30-minute-delay-0ap3000000688194,official NFL report
2016-10-02,NFL,Denver Broncos,Tampa Bay Buccaneers,venue_raymond_james_stadium,Raymond James Stadium,America/New_York,in_game,86,Broncos report states a one-hour 26-minute lightning delay; a separate team report places it with under seven minutes left.,https://www.denverbroncos.com/news/three-keys-unlocked-broncos-27-buccaneers-7-17806261,official team report
2017-09-17,NFL,Dallas Cowboys,Denver Broncos,denver,Sports Authority Field at Mile High,America/Denver,in_game,62,Cowboys report states play was halted with 33 seconds left in the first quarter and resumed after a 62-minute delay.,https://www.dallascowboys.com/news/game-recap-cowboys-can-t-corral-broncos-fall-in-denver-42-17-440656,official team report
2017-09-28,NFL,Chicago Bears,Green Bay Packers,venue_lambeau_field,Lambeau Field,America/Chicago,in_game,47,NFL report states a 47-minute lightning delay; teams cleared the field around 9:13 PM ET and resumed at 10:00 PM ET.,https://www.nfl.com/news/packers-defeat-bears-after-47-minute-weather-delay-0ap3000000853197,official NFL report
2018-09-06,NFL,Atlanta Falcons,Philadelphia Eagles,philadelphia,Lincoln Financial Field,America/New_York,pregame,45,NFL reports 8:20 PM ET scheduled start and actual 9:05 PM ET kickoff (45 minutes).,https://www.nfl.com/news/falcons-eagles-game-kicks-off-after-45-minute-delay-0ap3000000958803,official NFL report; duration calculated from reported schedule and kickoff
2018-09-09,NFL,Tennessee Titans,Miami Dolphins,miami,Hard Rock Stadium,America/New_York,in_game,117,First lightning stoppage; Dolphins official media guide reports a 1-hour-57-minute delay (117 minutes).,https://static.www.nfl.com/league/apps/league-site/media-guides/2025/MIA.pdf,official team media guide
2018-09-09,NFL,Tennessee Titans,Miami Dolphins,miami,Hard Rock Stadium,America/New_York,in_game,122,Second lightning stoppage; Dolphins official media guide reports a 2-hour-2-minute delay (122 minutes).,https://static.www.nfl.com/league/apps/league-site/media-guides/2025/MIA.pdf,official team media guide
